City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Peniche,PT,2022-01-22 16:33:49,39.3558,-9.3811,61.74,56,46,10.76
67,Fortuna,US,2022-01-22 16:33:49,40.5982,-124.1573,53.94,93,0,6.91
68,Nikolskoye,RU,2022-01-22 16:33:49,59.7035,30.7861,24.69,99,92,3.11
69,Dunedin,NZ,2022-01-22 16:33:50,-45.8742,170.5036,57.79,71,58,8.99
70,San Patricio,US,2022-01-22 16:33:50,28.017,-97.5169,48.16,44,64,13.49
71,Kapaa,US,2022-01-22 16:33:51,22.0752,-159.319,71.92,83,75,16.11
72,Sitka,US,2022-01-22 16:33:51,57.0531,-135.33,46.29,76,100,16.11
73,Hithadhoo,MV,2022-01-22 16:33:51,-0.6,73.0833,82.85,70,49,14.83
74,Totskoye,RU,2022-01-22 16:33:52,52.5248,52.7623,8.01,90,100,5.97
75,Port Macquarie,AU,2022-01-22 16:29:37,-31.4333,152.9167,64.89,100,75,6.91
76,Savannakhet,LA,2022-01-22 16:33:52,16.566,104.751,72.23,72,80,5.5
77,Conchas,BR,2022-01-22 16:33:53,-23.0153,-48.0106,87.94,40,0,2.33
78,Sakaiminato,JP,2022-01-22 16:33:53,35.55,133.2333,31.98,93,75,6.91
79,Port Alfred,ZA,2022-01-22 16:33:53,-33.5906,26.891,75.45,73,0,30.62
80,Fasa,IR,2022-01-22 16:33:54,28.9383,53.6482,40.24,65,0,0.0
81,Lata,PT,2022-01-22 16:33:54,40.1629,-8.3327,58.06,56,0,3.91
82,Juba,SS,2022-01-22 16:33:54,4.8517,31.5825,84.79,27,98,2.13
83,Los Llanos De Aridane,ES,2022-01-22 16:33:55,28.6585,-17.9182,67.75,82,20,8.01
84,Chokurdakh,RU,2022-01-22 16:33:55,70.6333,147.9167,-18.06,96,100,6.73
85,Danilov,RU,2022-01-22 16:33:56,58.1908,40.1717,13.21,96,97,6.46
86,Hilo,US,2022-01-22 16:33:56,19.7297,-155.09,67.24,85,40,5.75
87,Faanui,PF,2022-01-22 16:33:56,-16.4833,-151.75,80.19,78,100,14.88
88,Lebu,CL,2022-01-22 16:33:57,-37.6167,-73.65,60.93,80,86,8.81
89,Grindavik,IS,2022-01-22 16:33:57,63.8424,-22.4338,36.07,64,75,34.52
90,Petatlan,MX,2022-01-22 16:33:57,17.5167,-101.2667,80.4,45,9,3.24
91,Codrington,AU,2022-01-22 16:33:58,-38.2667,141.9667,69.15,52,69,9.86
92,Beringovskiy,RU,2022-01-22 16:34:58,63.05,179.3167,-4.54,96,100,13.82
93,Antofagasta,CL,2022-01-22 16:34:59,-23.65,-70.4,69.22,64,30,11.36
94,Deer Lake,CA,2022-01-22 16:34:59,49.1667,-57.4316,22.86,63,100,10.36
95,Ilulissat,GL,2022-01-22 16:34:59,69.2167,-51.1,3.22,60,40,18.41
96,Bengkulu,ID,2022-01-22 16:35:00,-3.8004,102.2655,75.11,94,100,4.97
97,Bandrele,YT,2022-01-22 16:35:00,-12.9067,45.1914,82.15,78,75,17.27
98,Avesta,SE,2022-01-22 16:35:01,60.1455,16.1679,28.13,75,98,6.44
99,Cayenne,GF,2022-01-22 16:35:01,4.9333,-52.3333,82.44,86,75,5.01
100,Pisco,PE,2022-01-22 16:35:01,-13.7,-76.2167,73.45,68,0,8.05
101,Cascais,PT,2022-01-22 16:35:02,38.6979,-9.4215,61.61,50,0,7.0
102,Omsukchan,RU,2022-01-22 16:35:02,62.5333,155.8,-35.61,99,30,5.03
103,Jumla,NP,2022-01-22 16:35:03,29.2747,82.1838,35.6,96,100,4.32
104,West Bay,KY,2022-01-22 16:35:03,19.3667,-81.4167,82.47,80,75,1.99
105,Chapada Dos Guimaraes,BR,2022-01-22 16:35:04,-15.4606,-55.7497,82.06,45,12,2.82
106,Mackay,AU,2022-01-22 16:30:18,-21.15,149.2,80.58,69,100,19.57
107,Kalabo,ZM,2022-01-22 16:35:04,-14.97,22.6814,71.8,63,78,3.69
108,Avera,US,2022-01-22 16:35:04,33.194,-82.5271,36.28,85,31,7.61
109,Tessalit,ML,2022-01-22 16:35:05,20.1986,1.0114,73.04,11,11,12.66
110,Padang,ID,2022-01-22 16:35:05,-0.9492,100.3543,77.22,89,99,4.25
111,Cobija,BO,2022-01-22 16:35:06,-11.0267,-68.7692,82.58,78,75,6.91
112,Villa Corzo,MX,2022-01-22 16:35:06,16.1667,-93.25,72.39,56,57,6.04
113,Yellowknife,CA,2022-01-22 16:30:08,62.456,-114.3525,-32.28,75,75,4.61
114,Flin Flon,CA,2022-01-22 16:35:06,54.7682,-101.865,-20.36,69,0,6.91
115,Bathsheba,BB,2022-01-22 16:35:07,13.2167,-59.5167,84.81,51,20,20.71
116,Gweru,ZW,2022-01-22 16:35:07,-19.45,29.8167,61.36,66,36,6.53
117,Lompoc,US,2022-01-22 16:35:08,34.6391,-120.4579,63.09,80,0,5.75
118,Hasaki,JP,2022-01-22 16:35:08,35.7333,140.8333,34.29,49,99,4.9
119,Mount Isa,AU,2022-01-22 16:35:08,-20.7333,139.5,74.97,100,100,0.0
120,Haines Junction,CA,2022-01-22 16:35:09,60.7522,-137.5108,33.75,86,55,6.91
121,Kerman,IR,2022-01-22 16:35:09,30.2832,57.0788,33.66,32,0,4.61
122,Vao,NC,2022-01-22 16:35:10,-22.6667,167.4833,77.76,84,61,4.18
123,Carnarvon,AU,2022-01-22 16:35:10,-24.8667,113.6333,87.87,40,33,18.41
124,Lagoa,PT,2022-01-22 16:35:10,39.05,-27.9833,57.72,73,96,11.39
125,Ternate,ID,2022-01-22 16:35:11,0.8,127.4,79.34,83,98,6.62
126,Murashi,RU,2022-01-22 16:35:11,59.3999,48.9615,14.18,94,99,6.69
127,Cosamaloapan,MX,2022-01-22 16:35:11,18.3667,-95.8,68.41,73,97,7.2
128,Vitim,RU,2022-01-22 16:35:12,59.4511,112.5578,-9.67,100,94,3.4
129,Anage,BR,2022-01-22 16:35:12,-14.6122,-41.1356,85.48,56,72,2.75
130,Havoysund,NO,2022-01-22 16:35:13,70.9963,24.6622,36.48,76,100,15.95
131,Butaritari,KI,2022-01-22 16:35:13,3.0707,172.7902,80.44,78,83,13.78
132,Ponta Do Sol,PT,2022-01-22 16:35:14,32.6667,-17.1,69.71,77,30,6.22
133,San Quintin,MX,2022-01-22 16:35:14,30.4833,-115.95,59.11,72,0,4.23
134,Chuy,UY,2022-01-22 16:35:14,-33.6971,-53.4616,91.42,53,12,10.76
135,Norman Wells,CA,2022-01-22 16:35:15,65.282,-126.8329,-2.16,65,40,16.11
136,Imbituba,BR,2022-01-22 16:35:15,-28.24,-48.6703,95.83,56,0,19.98
137,Fort Nelson,CA,2022-01-22 16:36:15,58.8053,-122.7002,6.39,85,75,2.3
138,Constanza,DE,2022-01-22 16:36:16,47.6603,9.1758,37.83,71,40,1.99
139,Moratuwa,LK,2022-01-22 16:36:16,6.773,79.8816,78.82,76,54,3.09
140,Jiayuguan,CN,2022-01-22 16:36:17,39.8167,98.3,23.23,50,0,3.51
141,Ribeira Grande,PT,2022-01-22 16:36:17,38.5167,-28.7,64.8,63,20,13.8
142,Santo Angelo,BR,2022-01-22 16:36:18,-28.2992,-54.2631,100.72,34,0,12.66
143,Labuhan,ID,2022-01-22 16:36:18,-6.8844,112.2051,77.88,87,100,9.95
144,Trinidad,BO,2022-01-22 16:36:19,-14.8333,-64.9,84.18,74,40,8.05
145,Acapulco,MX,2022-01-22 16:33:52,16.8634,-99.8901,78.62,69,0,2.3
146,Ostrovnoy,RU,2022-01-22 16:36:19,68.0531,39.5131,11.71,89,19,12.24
147,Vestmannaeyjar,IS,2022-01-22 16:36:20,63.4427,-20.2734,40.19,65,20,29.93
148,Geraldton,AU,2022-01-22 16:36:20,-28.7667,114.6,81.12,65,0,10.36
149,Gamba,GA,2022-01-22 16:36:20,-2.65,10.0,78.96,83,73,10.22
150,Colac,AU,2022-01-22 16:36:21,-38.3333,143.5833,69.62,62,2,5.41
151,Sao Filipe,CV,2022-01-22 16:36:21,14.8961,-24.4956,75.02,72,52,8.79
152,Northam,GB,2022-01-22 16:36:21,51.0333,-4.2167,45.01,86,39,5.53
153,Yatou,CN,2022-01-22 16:36:22,37.15,122.3833,33.94,85,100,9.22
154,Paka,MY,2022-01-22 16:36:22,4.6374,103.4368,73.33,94,6,0.0
155,Waipawa,NZ,2022-01-22 16:36:22,-41.4122,175.5153,61.45,80,2,3.11
156,Bichena,ET,2022-01-22 16:36:23,10.45,38.2,60.69,25,74,1.59
157,Faya,SA,2022-01-22 16:36:23,18.3851,42.4509,55.51,66,7,6.46
158,Ilabaya,PE,2022-01-22 16:36:24,-17.4208,-70.5133,75.2,59,40,10.94
159,Salalah,OM,2022-01-22 16:36:24,17.0151,54.0924,73.49,5,3,8.05
160,Macapa,BR,2022-01-22 16:31:28,0.0389,-51.0664,93.18,62,75,9.22
161,Ciudad Bolivar,VE,2022-01-22 16:36:25,8.1222,-63.5497,88.63,45,99,11.18
